Number of Elements, Execution Time (ms), Algorithm
100, 0.1365, CalculateMaxSumV1
1000, 4.1073, CalculateMaxSumV1
10000, 458.2928, CalculateMaxSumV1
100000, 45471.3794, CalculateMaxSumV1
100, 0.08, CalculateMaxSumV2
1000, 0.0019, CalculateMaxSumV2
10000, 0.0182, CalculateMaxSumV2
100000, 0.1927, CalculateMaxSumV2
100, 0.1809, CalculateMaxSumV1
1000, 4.1881, CalculateMaxSumV1
10000, 458.9759, CalculateMaxSumV1
100000, 45539.3315, CalculateMaxSumV1
100, 0.0767, CalculateMaxSumV2
1000, 0.0021, CalculateMaxSumV2
10000, 0.0182, CalculateMaxSumV2
100000, 0.1844, CalculateMaxSumV2
100, 0.2071, CalculateMaxSumV1
1000, 4.169, CalculateMaxSumV1
10000, 461.202, CalculateMaxSumV1
100000, 46310.8001, CalculateMaxSumV1
100, 0.3242, CalculateMaxSumV2
1000, 0.0021, CalculateMaxSumV2
10000, 0.0322, CalculateMaxSumV2
100000, 0.3296, CalculateMaxSumV2
100, 0.1807, CalculateMaxSumV1
1000, 4.1928, CalculateMaxSumV1
10000, 474.6582, CalculateMaxSumV1
100000, 46185.2642, CalculateMaxSumV1
100, 0.0657, CalculateMaxSumV2
1000, 0.002, CalculateMaxSumV2
10000, 0.0189, CalculateMaxSumV2
100000, 0.1917, CalculateMaxSumV2
